                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     74,                0.15907,                0.65249,                0.96209,                0.89095,                0.84651,                0.91921,                0.86908,                0.39489,                0.76055,                0.48367,             0.00046226,             0.00046226,             0.00046226
                     75,                0.16296,                0.66509,                  0.964,                 0.9071,                0.96669,                0.97407,                0.94242,                0.37929,                0.53556,                0.47608,             0.00044576,             0.00044576,             0.00044576
                     76,                0.15959,                0.64565,                0.95899,                 0.8689,                0.79319,                0.89844,                0.84136,                0.38759,                0.75309,                0.48572,             0.00042925,             0.00042925,             0.00042925
                     77,                0.16026,                0.65685,                0.96331,                0.90513,                0.93882,                0.96826,                  0.936,                0.36136,                 0.5096,                0.47553,             0.00041275,             0.00041275,             0.00041275
                     78,                0.14849,                 0.6432,                0.95651,                0.92858,                0.91429,                0.96859,                0.94604,                 0.3296,                0.60818,                0.45654,             0.00039625,             0.00039625,             0.00039625
                     79,                0.15259,                0.64098,                0.95687,                0.94176,                0.92467,                0.97109,                0.91703,                0.37304,                 0.4562,                0.47946,             0.00037974,             0.00037974,             0.00037974
                     80,                 0.1548,                0.64744,                0.96129,                 0.9032,                0.94191,                0.96065,                0.93471,                0.33166,                0.48595,                0.43668,             0.00036324,             0.00036324,             0.00036324
                     81,                0.14491,                0.63538,                0.95792,                0.75523,                0.76818,                0.85393,                0.79621,                0.37965,                0.94084,                0.47621,             0.00034674,             0.00034674,             0.00034674
                     82,                0.15371,                0.64494,                0.96111,                0.83381,                0.84815,                0.91465,                0.87831,                0.36501,                0.75006,                0.46768,             0.00033023,             0.00033023,             0.00033023
                     83,                 0.1452,                0.62803,                 0.9515,                0.91829,                0.86815,                0.94874,                0.92156,                0.32882,                0.63424,                0.44259,             0.00031373,             0.00031373,             0.00031373
                     84,                0.15897,                0.63024,                0.95679,                0.76421,                 0.6715,                0.76997,                0.73972,                 0.3627,                 1.1247,                0.45569,             0.00029723,             0.00029723,             0.00029723
                     85,                0.14704,                 0.6416,                0.95518,                0.90022,                0.76149,                0.86449,                0.84189,                0.32682,                0.86001,                0.42685,             0.00028072,             0.00028072,             0.00028072
                     86,                   0.15,                 0.6393,                0.95886,                0.73387,                0.67919,                0.75303,                0.72095,                0.39533,                 1.1911,                0.48085,             0.00026422,             0.00026422,             0.00026422
                     87,                 0.1435,                0.62712,                0.95303,                0.84995,                0.74117,                0.82717,                0.79517,                0.35906,                0.99183,                0.45285,             0.00024772,             0.00024772,             0.00024772
                     88,                 0.1406,                0.62292,                0.95039,                0.80601,                0.82038,                0.87597,                0.84987,                0.34679,                0.87437,                0.45603,             0.00023121,             0.00023121,             0.00023121
                     89,                0.14928,                0.62957,                0.95826,                0.78325,                 0.6809,                0.80183,                0.75598,                0.34545,                 1.0616,                0.44756,             0.00021471,             0.00021471,             0.00021471
                     90,                0.14326,                0.62186,                 0.9562,                0.87553,                0.82072,                  0.917,                0.88726,                0.34288,                0.74737,                 0.4454,             0.00019821,             0.00019821,             0.00019821
                     91,                0.14769,                0.62843,                0.95809,                0.84735,                0.58946,                 0.7723,                0.72868,                 0.3669,                 1.1086,                0.46214,              0.0001817,              0.0001817,              0.0001817
                     92,                0.13542,                0.61402,                 0.9478,                0.59202,                0.53806,                0.61033,                0.58906,                0.36262,                  1.654,                0.46336,              0.0001652,              0.0001652,              0.0001652
                     93,                 0.1352,                 0.5998,                0.95263,                0.76561,                0.67689,                0.81994,                0.79257,                0.32962,                0.99127,                0.44255,              0.0001487,              0.0001487,              0.0001487
                     94,                0.13344,                0.61231,                0.95181,                0.88178,                0.70461,                0.85202,                0.82648,                 0.3276,                0.91612,                0.43162,             0.00013219,             0.00013219,             0.00013219
                     95,                0.13223,                0.61562,                0.94744,                0.88081,                0.82287,                0.91189,                0.89315,                0.28746,                0.72636,                0.39776,             0.00011569,             0.00011569,             0.00011569
                     96,                0.13852,                0.61804,                0.95237,                0.88752,                0.84052,                0.92024,                0.90115,                0.30238,                0.71986,                 0.4024,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     97,                0.13306,                0.60077,                0.95139,                0.92403,                0.80673,                0.93151,                0.91225,                0.30343,                0.69398,                0.40355,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     98,                0.12835,                0.61525,                0.94271,                0.83907,                0.79331,                0.88223,                0.85757,                0.32665,                0.83299,                0.42449,              6.618e-05,              6.618e-05,              6.618e-05
                     99,                0.13259,                0.60598,                0.95003,                0.86572,                0.74612,                0.86207,                0.83881,                0.32238,                0.87962,                0.42633,             4.9677e-05,             4.9677e-05,             4.9677e-05
